$>n	a matter
kfwr	ungrateful
kfwrA	disbelief
kfyh	his hands
kfylA	a surety
kfynk	[We] are sufficient for you
kglY	Like boiling
kh$ym	like dry twig fragments
khfhm	their cave
khy_p	like the form
kjhr	like loudness
kl	all
klA	all
klAhmA	both of them
klHwn	(will) grin with displaced lips
klY	eat
klbhm	their dog
klh	all
klhA	all
klhm	all of them
klhn	all of them
kllp	(has) no parent or child
klm	spoke
klmA	Whenever
klmH	as a twinkling
klmh	he spoke to him
klmp	a word
klmt	words
klmtnA	Our Word
kltA	Each
kltm	you measure
klwA	Eat
km$kwp	(is) like a niche
kmA'	like water
kmvl	(is) like
kmvlh	like Him
kn	Be
knA	We
knfs	as a soul
knt	are
kntm	you
kntn	you
knz	a treasure
knzhmA	their treasure
knztm	you hoarded
krAm	Noble
krAmA	Noble
krb	distress
krh	dislike
krhA	(by) force
krhtmwhn	you dislike them
krhwA	hate
krhwn	averse to it
krhyn	ones who hate (it)
krmAd	(are) like ashes
krmnA	We have honored
krmt	You have honored
krp	a return
krsyh	His Throne
krtyn	twice (again)
krym	noble
krymA	noble
ksAdhA	a decline (in) it
ksAlY	lazily
ksb	earned
ksbA	they earned
ksbt	earned
ksbtm	you have earned
ksbwA	earned
ksfA	fragments
ksrAb	(are) like a mirage
kswthm	clothing them
ktAb	a decree
ktb	Book
ktbA	a book
ktbh	his record
ktbhA	its record
ktbhm	their records
ktbk	your record
ktbnA	Our Record
ktbnhA	We prescribed it
ktbt	have written
ktbwn	(are) Recorders
ktbyh	my record
ktbyn	recording
ktm	concealed
kvr	much
kvrp	abundance
kvrt	(they are) numerous
kvrtkm	your multitude
kvybA	a heap of sand
kvyr	many
kvyrA	many
kvyrp	many
kwkb	a star
kwkbA	stars
kwnY	Be
kwnwA	Be
kwrt	is wrapped up
kx$yp	as (they) fear
kxlqh	like His creation
kxyftkm	as you fear
kyd	a plan
kydA	a plot
kydY	My plan
kydh	his plan
kydhm	their plot
kydhn	their plot
kydkm	your plan
kydkn	your plot
kydwn	scheme against me
kyf	How
kyl	measure
kzrE	(is) like a seed
k{l>Elm	like mountains
k{l>EmY	(is) like the blind
k{l>nEm	like cattle
k{l>nvY	like the female
k{lEhn	like wool
k{lErjwn	like the date stalk
k{lHjArp	(became) like [the] stones
k{lSrym	as if reaped
k{lTwd	like the mountain
k{lZll	like canopies
k{ldhAn	like murky oil
k{lfjAr	like the wicked
k{lfrA$	like moths
k{lfxAr	like the pottery
k{ljbAl	like mountains
k{ljwAb	like reservoirs
k{lmElqp	like the suspended one
k{lmfsdyn	like those who spread corruption
k{lmhl	like molten brass
k{lmjrmyn	like the criminals
k{lqSr	as the fortress
k{lrmym	like disintegrated ruins
l$AEr	for a poet
l$AY'	of anything
l$Y'	to a thing
l$dyd	(is) severe
l$hdtnA	Surely our testimony
l$hyd	surely (is) a witness
l$r	surely (is) an evil
l$r*mp	(are) certainly a band
l$rkA}hm	for their partners
l$rkA}nA	(is) for our partners
l$tY	(are) surely diverse
l$wbA	(is) a mixture
l&l&	pearls
l&l&A	(to be) pearls
l'AbA}hm	by their fathers
l'Adm	to Adam
l'Aklwn	Will surely eat
l'Amn	surely, (would) have believed
l'At	(is) sure to come
l'AtwhA	they (would) have certainly done it
l'AtynA	surely We (would) have given
l'Atynhm	We would (have) given them
l'Atyp	(is) surely coming
l'Ayp	surely is a Sign
l'Ayt	(are) signs
l'AytnA	to Our Verses
l*A}qwA	(will) surely taste
l*A}qwn	(will) certainly taste
l*hb	surely (would have) taken away
l*kr	(is) surely, a Reminder
l*krY	for My remembrance
l*kwrnA	for our males
l*nbk	for your sin
l*nwbhm	for their sins
l*p	delicious
l<HdY	(is) surely one
l<brhym	to Ibrahim
l<vm	to sin
l<xwnhm	to their brothers
l<ylf	For familiarity
l>*qnk	We (would) have made you taste
l>A*bHnh	I will surely slaughter him
l>E*bnh	I will surely punish him
l>Edl	that I do justice
l>EdwA	surely they (would) have prepared
l>Entkm	surely He (could have) put you in difficulties
l>Hd	to anyone
l>HdhmA	for one of them
l>Htnkn	I will surely destroy
l>SHb	companions
l>Slbnkm	I will surely crucify you
l>Znh	[I] think that he
l>Znk	[I] think you
l>bY	my father
l>byh	to his father
l>glbn	Surely, I will overcome
l>gwynhm	I will surely mislead them
l>hb	that I (may) bestow
l>hl	(for) the people
l>hlh	to his family
l>jElnk	I will surely make you
l>jd	[I] find
l>jdn	I will surely find
l>jl	for a term
l>jrA	a reward
l>kfr	that I disbelieve
l>kfrn	surely I will remove
l>klwA	surely they (would have) eaten
l>kvrhm	for most of them
l>kwnn	I will surely be
l>kydn	surely, I will plan
l>mArp	(is) a certain enjoiner
l>ml>n	Surely I will fill
l>mnthm	of their trusts
l>mr	for the Command of Allah
l>msktm	surely you would withhold
l>n*rkm	that I may warn you
l>nEmh	for His favors
l>nfshm	for themselves
l>nfskm	for yourselves
l>nzl	surely He (would have) sent down
l>qEdn	surely I will sit
l>qTEn	I will surely cut off
l>qrb	to a nearer (way)
l>qtlk	to kill you
l>qtlnk	Surely I will kill you
l>rjmnk	surely, I will stone you
l>rynkhm	surely, We could show them to you
l>sjd	(one) to prostrate
l>smEhm	surely, He (would) have made them hear
l>sqynhm	surely We (would) have given them to drink
l>stgfrn	Surely I ask forgiveness
l>tx*n	I will surely take
l>wh	(was) compassionate
l>wl	at first
l>wlY	for men
l>wlYhm	about the first of them
l>wlnA	for first of us
l>wtyn	Surely, I will be given
l>x*nA	Certainly We (would) have seized
l>xrYhm	to last of them
l>xth	to his sister
l>xyh	to his brother
l>ymnkm	in your oaths
l>zwjhm	for their wives
l>zwjk	to your wives
l>zydnkm	surely I will increase you
l>zynn	surely, I will make (evil) fair-seeming
lAhyp	Distracted
lAzb	sticky
lA}m	(of) a critic
lDAlwn	(are) surely lost
lE*bhm	certainly He (would) have punished them
lE*bnA	surely, We would have punished
lEAd	with Aad
lEAdwA	certainly they (would) return
lEAl	(was) a tyrant
lEb	a play
lEbA	(as) a play
lEbAdY	to My slaves
lEbAdh	in His slaves
lEbAdnA	for Our slaves
lEbdth	in His worship
lEbrp	(is) a lesson
lEbyn	(in) play
lEdthn	for their waiting period
lEfw	(is) surely Oft-Pardoning
lEjl	surely, He (would) have hastened
lElY	surely exalted
lElm	surely (is) a knowledge
lElmh	surely would have known it
lElym	surely, (is) All-Knowing
lEmlkm	(of) your deed
lEmrk	By your life
lEn	has cursed
lEnA	We cursed
lEnh	He was cursed
lEnhm	cursed them
lEnp	a curse
lEnt	the curse
lEntY	(is) My curse
lEntm	surely you would be in difficulty
lEnwA	are cursed
lHb	in love
lHbT	surely (would be) worthless
lHdwd	limits
lHdyv	for a conversation
lHfZwn	(are) surely Guardians
lHfZyn	(are) surely guardians
lHkm	for Command
lHkmh	(of) His Judgment
lHkmhm	to their judgment
lHlym	(was) certainly forbearing
lHm	flesh
lHmA	meat
lHn	tone
lHq	surely truth
lHsn	surely, is a good
lHsrp	(is) surely a regret
lHwmhA	their meat
lHyAtY	for my life
lSAdq	(is) surely true
lSAlwA	(surely) will burn
lSHbh	to his companion
lSdqwn	[surely] are truthful
lSwt	(is) surely voice
lTmsnA	We (would have) surely obliterated
lTyf	(is) Subtle
lTyfA	All-Subtle
lZY	surely a Flame of Hell
lZlm	(is) surelyaninjustice
lZlmwn	surely (would be) wrongdoers
lZlmyn	surely wrongdoers
lZlwA	certainly they continue
lZlwm	(is) surelyunjust
lb$r	to a human
lb$ryn	(in) two men
lb<mAm	(were) on a highway
lbAs	garb
lbAsA	clothing
lbAshmA	their clothing
lbED	for some
lbEvnA	surely, We (would) have raised
lbEwlthn	to their husbands
lbdA	abundant
lbgwA	surely they would rebel
lbld	to a land
lblgA	surely is a Message
lbn	milk
lbnA	milk
lbnY	for the Children
lbnyh	to his sons
lbrz	surely (would have) come out
lbs	doubt
lbsbyl	(is) on a road
lbv	and not he delayed
lbvnA	We remained
lbvt	I remained
lbvtm	you stayed
lbvwA	they remained
lbvyn	(They will) be remaining
lbws	(of) coats of armor
lbyt	(is) surely house
lbywthm	for their houses
lb{lmrSAd	(is) surely Ever Watchful
lb}s	Surely evil
ldA	hostile
ldAwd	to Dawood
ldlwk	at the decline
ldn	from [near]
ldnA	Us
ldnY	from me
ldnh	near Him
ldnk	Yourself
lf$ltm	surely you would have lost courage
lfDlh	(of) His Bounty
lfElwn	surely will do
lfrEwn	to Firaun
lfrH	(is) exultant
lfrwjhm	their modesty
lfryqA	surely (is) a group
lfsdt	certainly (would have) corrupted
lfsdtA	surely they (would) have been ruined
lfsq	grave disobedience
lfsqwn	(are) defiantly disobedient
lfsqyn	certainly, defiantly disobedient
lftHnA	surely We (would have) opened
lftYh	to his boy
lftynh	to his servants
lfyfA	(as) a mixed crowd
lgA}Zwn	(are) surely enraging
lgd	for tomorrow
lgfAr	the Perpetual Forgiver
lgflwn	(are) surely heedless
lgflyn	certainly unaware
lgfwr	(is) Oft-Forgiving
lglmyn	for two orphan boys
lgnY	(is) Free from need
lgw	ill speech
lgwA	vain talk
lgwY	(are) surely a deviator
lgwb	fatigue
lgyp	vain talk
lgyr	to other than
lhAd	(is) surely Guide
lhb	Lahab
lhdY	(is) surely a guidance
lhdYkm	surely He would have guided you
lhdmt	surely (would) have been demolished
lhdynkm	surely we would have guided you
lhmt	surely (had) resolved
lhw	amusement
lhwA	a sport
ljA'hm	surely (would) have come to them
ljAlwt	to (face) Jalut
ljEl	surely He (could) have made
ljElh	surely He (could) have made it
ljElhm	He could have made them
ljElkm	He (would have) made you
ljElnA	We (would have) made
ljElnh	We (would) surely, make it
ljElwn	(will) surely make
ljY	deep
ljbryl	to Jibreel
ljhnm	to Hell
ljlwdhm	to their skins
ljmEhm	surely He (would) have gathered them
ljmyE	(are) surely a multitude
ljnbh	(lying) on his side
ljp	(was) a pool
ljwA	they persist
lk*bwn	(are) surely liars
lkAn	certainly it would be
lkbyrkm	(is) your chief
lkbyrp	(is) surely difficult
lkfrnA	surely We (would have) removed
lkfrwn	surely (are) disbelievers
lkfwr	(is) surely ungrateful
lkl	for each
lklmt	words
lklmth	His words
lknA	surely we (would) have been
lknt	surely, I (would) have been
lkntm	surely you would have been
lknwd	(is) surely ungrateful
lkrhwn	certainly disliked
lktb	(is) surely a Book
lkvyr	to many
ll$hdp	for evidence
ll$ms	to the sun
ll$rbyn	to the drinkers
ll$wY	of the skin of the head
ll$yTn	to the Shaitaan
ll$yTyn	for the devils
ll'Aklyn	for those who eat
ll'Axrp	(is) the Hereafter
ll'Axryn	for the later (generations)
ll*kr	for the male
ll*kryn	for those who remember
ll<nsn	to man
ll<slm	to Islam
ll<ymn	to the faith
ll>*qAn	on their faces
ll>brAr	for the righteous
ll>nAm	for the creatures
ll>wbyn	to those who often turn (to Him)
llEbAd	for the slaves
llEbdyn	for the worshippers
llEbyd	to My slaves
llElmyn	to the worlds
llEsrY	towards [the] difficulty
llHY	before the Ever-Living
llHq	to the truth
llHrb	of [the] war
llHsnY	(will be) the best
llHwAryn	to the disciples
llSbryn	for those who are patient
llSlwp	for prayer
llTA}fyn	for those who circumambulate
llTgyn	for the transgressors
llTybt	(are) for good women
llTybyn	(are) for good men
llZlmyn	to the wrongdoers
llb$r	the human (skin)
llbv	Certainly, he (would have) remained
lldyn	to the religion
llfqrA'	For the poor
llgAwyn	to the deviators
llgyb	in the unseen
llh	Allah
llhdY	(is) the guidance
lljbl	to the mountain
lljbyn	upon his forehead
lljwA	surely they would persist
llk*b	to falsehood
llkfr	to disbelief
llkfryn	to the disbelievers
llktb	for records
llm$rkyn	to the polytheists
llm&mnt	to the believing women
llm&mnyn	the believers
llmHsnt	for the good-doers
llmHsnyn	for the good-doers
llmSlyn	to those who pray
llmTffyn	to those who give less
llmjrmyn	for the criminals
llmk*byn	to the deniers
llml<	to the chiefs
llml}kp	to the angels
llmqwyn	for the wayfarers in the desert
llmslmyn	to the Muslims
llmsrfyn	to the extravagant
llmtkbryn	for the arrogant
llmtqyn	for the pious
llmtwsmyn	for those who discern
llmwqnyn	for those who are certain
llmxlfyn	to those who remained behind
llnAs	from men
llnZryn	for the observers
llnbY	to the Prophet
llqmr	to the moon
llqsyp	to (those are) hardened
llqtAl	for the battle
llqwm	for the people
llr'yA	of visions
llrHmn	the Most Gracious
llrjAl	For men
llrsl	to the Messengers
llsAEp	of the Hour
llsA}l	(of) those who asked
llsA}lyn	for those who ask
llsHt	of the forbidden
llslm	to peace
llsmE	for hearing
lltqwY	to [the] piety
llwldyn	for the parents
llxA}nyn	for the deceitful
llxbyvt	(are) for evil women
llxbyvyn	(are) for evil men
llxrwj	to go out
llxyr	of good
llysrY	to the ease
llytmY	for orphans
llzkwp	of purification works
lm$rkwn	(would) be the polytheists
lm&mn	for a believer
lmA	altogether
lmEzwlwn	(are) surely banished
lmHDrwn	(will) surely be brought
lmHY	surely He (will) give life
lmHjwbwn	surely will be partitioned
lmHyTp	(will) surely surround
lmbEwvwn	surely be resurrected
lmblsyn	surely in despair
lmbtlyn	surely testing
lmdrkwn	(are) surely to be overtaken
lmdyn	with Madyan
lmdynwn	surely be brought to Judgment
lmfEwlA	surely fulfilled
lmgfrp	certainly forgiveness
lmgrmwn	surely are laden with debt
lmhlkhm	for their destruction
lmhtdwn	(will) surely be guided
lmjmwEwn	Surely, will be gathered
lmjnwn	(is) surely mad
lmkr	(is) surely a plot
lmnjwhm	surely will save them
lmnqlbwn	will surely return
lmqt	Certainly Allah-s hatred
lmrdwdwn	indeed be returned
lmrslwn	(are) surely Messengers
lmsjd	A masjid
lmskm	surely would have touched you
lmskyn	of poor people
lmsnA	sought to touch
lmsrfwn	(are) surely those who commit excesses
lmstm	you have touched
lmstqr	to a term appointed
lmsxnhm	surely, We (would have) transformed them
lmtnnY	you blamed me
lmvl	For like
lmvlh	(to the) like of it
lmvwbp	surely reward
lmwEdhm	(is) surely the promised place for them
lmwfwhm	will surely pay them in full
lmwsEwn	(are) surely (its) Expanders
lmwsY	Musa
lmxrjwn	surely be brought out
lmyqt	for appointment
lmyqtnA	for Our appointment
lmytwn	surely (will) die
lmzp	backbiter
ln&mnn	surely, we will believe
ln*hbn	We (would) have surely taken away
ln*yqhm	that We may make them taste
lnEbd	that we (should) worship
lnElm	surely know
lnH$rnhm	surely, We will gather them
lnHDrnhm	surely, We will bring them
lnHY	That We may give life
lnHrqnh	Surely we will burn it
lnSHwn	surely well-wishers
lnSdqn	surely we will give charity
lnSrf	that We might avert
lnZnk	[we] think you
lnb*	surely he would have been thrown
lnbY	to a Prophet
lnblwhm	that We may test [them]
lnbw}nhm	surely We will give them a place
lnbyn	that We may make clear
lnbytnh	surely, we will attack him by night
lndxlnhm	We will surely admit them
lnfd	surely (would be) exhausted
lnfs	for a soul
lnfsY	for myself
lnfsd	that we cause corruption
lnfsh	himself
lnftnhm	that We may test them
lngrynk	We will let you overpower them
lnhdynhm	We will surely, guide them
lnhlkn	We will surely destroy
lnhtdY	to receive guidance
lnjElhA	That We might make it
lnkbwn	surely (are) deviating
lnkfrn	surely, We will remove
lnkwnn	surely we will be
lnnSr	We will surely help
lnnSrnkm	certainly we will help you
lnnZr	so that We may see
lnnjynh	We will surely save him
lnnsfnh	certainly we will scatter it
lnnzEn	surely, We will drag out
lnqwln	we will surely say
lnrYhA	[we] surely see her
lnrYk	surely see you
lnrjmnkm	surely, we will stone you
lnrsl	That we may send down
lnryh	that We may show him
lnryk	That We may show you
lns_lnhm	surely We will question them
lnsfEA	surely We will drag him
lnslm	that we submit
lnt	you dealt gently
lntx*n	Surely we will take
lnvbt	that We may strengthen
lnwrh	to His Light
lnxrj	That We may bring forth
lnxrjn	surely we will leave
lnxrjnk	We will surely drive you out
lnxrjnkm	Surely we will drive you out
lnzlnA	surely We (would) have sent down
lqA'	meeting
lqA'nA	the meeting with Us
lqAdr	(is) Able
lqAl	surely (would) have said
lqAlwA	They would surely say
lqA}h	receiving it
lqDY	surely would have been judged
lqTEnA	certainly We (would) have cut off
lqdrwn	surely able
lqdyr	(is) surely Able
lqlnA	surely, we could say
lqlwbkm	for your hearts
lqmn	Luqman
lqr'An	(is) surely, a Quran
lqsm	(is) surely an oath
lqtAl	of war
lqwA	they meet
lqwY	surely, strong
lqwkm	they meet you
lqwl	surely Word
lqwlhm	to their speech
lqwm	So away
lqwmh	to his people
lqwmhm	to their people
lqwmkmA	your people
lqyA	they met
lqyh	(will) meet it
lqynA	we have suffered
lqytm	you meet
lr'wf	Full of Kindness
lr>yth	surely you (would) have seen it
lrAdk	(will) surely take you back
lrHmp	surely is a mercy
lrb	to Lord
lrbh	to his Lord
lrbhA	to its Lord
lrbhm	of their Lord
lrbk	to your Lord
lrbkm	to your Lord
lrfEnh	surely, We (could) have raised him
lrjl	to one man
lrjmnk	surely we would have stoned you
lrqyk	in your ascension
lrslhm	to their Messengers
lrswl	in a Messenger
lrswlh	(are) surely His Messenger
lrzqnA	(is) surely Our provision
lsAn	a mention
lsAnA	(in) speech
lsAnY	my tongue
lsAnk	your tongue
lsEyh	[of] his effort
lsEyhA	With their effort
lsHr	(is) surely, a magic
lsHrn	[two] magicians
lsb<	for Saba
lslThm	surely He (would have) given them power
lslymn	for Sulaiman
lsmyE	(is) All-Hearer
lsnp	in Way
lsnt	in way
lsntnA	(in) Our way
lsrqwn	surely (are) thieves
lsryE	(is) surely swift
lst	I am not
lstm	You are not
lstn	You are not
lt$hdwn	testify
lt$qY	that you be distressed
lt$rk	to make you associate
lt&mnn	you must believe
lt&mnwA	that you believe
lt*hbwA	so that you may take
lt*krp	(is) surely a reminder
lt>fknA	to turn us away
lt>klwA	for you to eat
lt>tnnY	that surely you will bring him to me
lt>twn	commit
lt>tynkm	surely it will come to you
lt>x*whA	to take it
ltArkwA	to leave
ltDyqwA	to distress
ltEArfwA	that you may know one another
ltEjl	to hasten
ltElm	surely know
ltElmwA	that you may know
ltErDwA	that you may turn away
ltEtdwA	so that you transgress
ltEwdn	you must return
ltHSnkm	to protect you
ltHkm	so that you may judge
ltHmlhm	that you provide them with mounts
ltHsbwh	so that you may think it
ltb$r	that you may give glad tidings
ltbEvn	surely you will be raised
ltbdY	(to) disclosing
ltblgwA	lets you reach
ltblwn	You will certainly be tested
ltbtgwA	that you may seek
ltbyn	that you make clear
ltbynnh	You certainly make it clear
ltdEwhm	certainly call them
ltdxln	Surely, you will enter
ltfsdn	Surely you will cause corruption
ltftrY	that you invent
ltftrwA	so that you invent
ltgfr	that You may forgive
ltgrq	to drown
lthdY	surely guide
lthtdwA	that you may guide yourselves
ltjdn	Surely you will find
ltjrY	that may sail
ltjzY	that may be recompensed
ltkbrwA	so that you may magnify
ltkfrwn	[surely] disbelieve
ltkwn	that you may be
ltkwnn	Surely you will be
ltkwnwA	lets you become
ltlftnA	to turn us away
ltlqY	surely, receive
ltmrwn	surely pass
ltn*r	that you warn
ltnb&n	surely you will be informed
ltnb}nhm	Surely, you will inform them
ltnfqwA	to spend
ltnw>	would burden
ltnzyl	surely, is a Revelation
ltqr>h	that you might recite it
ltqtlnY	to kill me
ltqwlwn	surely say
ltrDY	that You be pleased
ltrDwA	that you may be pleased
ltrdyn	ruined me
ltrkbn	You will surely embark
ltrkbwA	that you may ride
ltrkbwhA	for you to ride them
ltrwn	Surely you will see
ltrwnhA	surely you will see it
ltsHrnA	so that you bewitch us
lts_ln	surely you will be asked
ltsknwA	that you may rest
ltslkwA	That you may go along
ltstwA	That you may sit firmly
lttlwA	so that you might recite
ltwlwA	surely they would have turned away
ltx*t	surely you (could) have taken
ltxrj	so that you may bring out
ltxrjnA	to drive us out
ltxrjwA	so that you may drive out
ltzwl	that should be moved
lvmwd	with Thamud
lwA*A	under shelter
lwAHp	Scorching
lwH	a Tablet
lwHd	(is) surely One
lwT	Lut
lwTA	Lut
lwjdwA	surely they would have found
lwjh	for Countenance
lwldyh	to his parents
lwlwA	surely they would turn
lwlyh	to his heir
lwlyt	you (would) have surely turned back
lwmp	the blame
lwnhA	(is) its color
lwqE	will surely occur
lwqEthA	at its occurrence
lwqH	fertilizing
lwqthA	its time
lwwA	They turn aside
lxT_yn	sinners
lxbyr	(is) surely All-Aware
lxlq	Surely, creation
lxrjnA	certainly we (would) have come forth
lxsf	He would have caused it to swallow us
lxsrwn	surely (will be) losers
lxznp	to keepers
ly$hdwA	That they may witness
ly$trwA	to barter
ly&*n	that permission be granted
ly&mnn	surely he believes
ly&mnwA	to believe
ly*hb	to remove
ly*krwA	that they may mention
ly*r	to leave
ly*wq	that he may taste
ly*wqwA	so that they may taste
