$>n	durumda
fsy>tyhm	ama kendilerine gelecektir
fsyElmwn	bileceklerdir
fsyH$rhm	bilsin ki O toplayacaktır
fsyHwA	dolaşın
fsydxlhm	sokacaktır
fsykfykhm	onlara karşı sana yeter
fsynfqwnhA	ve harcayacaklar
fsyngDwn	alaylı alaylı sallayacaklar
fsyqwlwn	diyecekler
fsyrY	görecek
fsyrwA	dolaşın
ft$bh	benzer (mi) göründü
ft*kr	hatırlatması için
ft*rwhA	ötekini bırakmayın
ft>kl	yiyecek
ft>twn	gelirsiniz
ft>tyhm	onlara getiresin
ftAb	bu yüzden affetti
ftEATY	o da bıçağı çekti
ftEAlyn	gelin
ftElY	yücedir
ftErfwnhA	siz de onları tanıyacaksınız
ftEsA	yıkım
ftH	açtığı
ftHA	bir fetih
ftHnA	açsak da
ftHryr	azadetmelidir
ftHsswA	araştırın
ftHt	açılır
ftHwA	açtılar
ftSbH	böylece olur
ftSbHwA	sonra olursunuz
ftSybkm	isabet edecek (olmasaydı)
ftTAwl	geçti
ftTrdhm	onları kovup da
ftY	bir genç
ftYhA	uşağının
ftbArk	ne yücedir
ftbhthm	onları şaşırtacak
ftbsm	tebessüm etti
ftbynwA	onu araştırın
ftf$lwA	yoksa korkuya kapılırsınız da
ftfjr	fışkırtmalısın
ftfrq	ayırmasın
fthAjrwA	göç edeydiniz
fthjd	uyan (teheccüd kıl)
ftkn	ve bulunsa
ftkwY	dağlanır
ftkwn	olsun
ftkwnA	olursunuz
ftkwnwn	ki onlarla olsanız
ftlqY	derken aldı
ftm	böylece tamamlandı
ftmArwA	fakat kuşku duydular
ftmnwA	temenni edin
ftmskm	yoksa size dokunur
ftmtEwA	öyleyse eğlenin
ftmvl	göründü
ftnA	sınadık
ftnAdwA	birbirlerine seslendiler
ftnfEh	ve kendisine yarayacaktır
ftnfx	üflüyordun
ftnh	kendisini denediğimizi
ftnp	fitne
ftnqlbwA	yoksa dönersiniz
ftnth	şaşırtmak
ftnthm	onların çareleri
ftntk	senin imtihanından
ftntkm	fitnenizi
ftntm	siz sınandınız
ftnwA	işkence eden(ler)
ftnzEwA	sonra tartıştılar
ftqEd	sonra kalırsın
ftqTEwA	fakat parçalayıp ayırdılar
ftqbl	kabul buyur
ftqblhA	kabul buyurdu onu
ftqwl	ve diyordu
ftrY	görürsün
ftrYh	onu görürsün
ftrbSwA	gözetleyin
ftrkh	onu bırakır
ftrp	arasının kesildiği sırada
ftstjybwn	çağrısına uyarsınız
ftvyr	kaldırır
ftwbwA	gelin tevbe edin de
ftwkl	dayan
ftwklwA	dayanın
ftwl	yüz çevir
ftwlY	çevirdi
ftwlwA	bunun üzerine kaçtılar
ftwnA	(iyi bir) deneyişle
ftxTfh	ve kendisini kapıyor
ftxbt	böylece saygı duysun
ftxrjwh	çıka(rıp gösterece)ğiniz
ftyAn	iki genç daha
ftymmwA	teyemmüm edin
ftyp	gençlerdi
ftytkm	cariyelerinizi
ftzl	kayar
fvbThm	ve onları durdurdu
fvbtwA	siz pekiştirin
fwHdp	bir tane (alın)
fwfYh	tam görür
fwhb	sonra verdi
fwj	guruptur
fwjA	bir cemaat
fwjd	ve buldu
fwjdA	ve buldular
fwjdnhA	ve onu bulduk
fwkh	meyvalar
fwkzh	bir yumruk indirdi
fwl	çevir
fwlwA	çevirin
fwq	fazla
fwqE	ortaya çıktı
fwqYh	onu korudu
fwqYhm	onları korumuştur
fwqh	onun üstü-
fwqhA	üstüste
fwqhm	üstleri-
fwqhn	üstlerinden
fwqkm	üstünüz-
fwrb	Rabbine andolsun ki
fwrbk	Rabbin hakkı için
fwrhm	onlar ansızın
fwsTn	derken dalanlara
fwsws	derken fısıldadı
fwt	hiçbiri kurtulamaz
fwzA	bir başarı
fx$ynA	korktuk
fx*	al
fx*hA	bunları tut
fx*wh	alın
fx*whm	onları yakalayın
fxAntAhmA	fakat ihanet ettiler
fxlf	ardından
fxlq	ve yarattı
fxlqnA	sonra çevirdik
fxlwA	serbest bırakın
fxr	çökmüştü
fxrAj	vergisi
fxrj	çıkıp
fxsfnA	nihayet batırdık
fy$fEwA	şefa'at etsinler
fy&mnwA	ve inansınlar diye
fy&x*	ve tutulur
fy*hb	gider
fy*rhA	bırakacaktır
fy>tyhm	(azab) onlara gelir de
fy>x*km	yoksa sizi yakalar
fyDEfh	ki o kat kat artırsın
fyDl	şaşırtır
fyDlk	sonra seni saptırır
fyE*bh	ona azab eder
fyE*bhm	azabedecektir
fyElmwn	bilirler
fyHY	ve diriltmesidir
fyHfkm	ve sizi sıkıştırsaydı
fyHl	sonra iner
fyHlfwn	sonra yemin ederler
fyHlwA	helal yapsınlar
fySbHwA	onlar olurlar
fySlb	asılacak
fySyb	vurur
fyTmE	böylece tamah etmesin
fyZlln	sonra kalırlar
fy_ws	hemen üzülür
fybsTh	sonra onu yayar
fydmgh	onun beynini parçalar
fydxlhm	onları sokar
fygfr	bağışlar
fygrqkm	ve sizi boğmayacağından
fyjElh	atsın
fyk$f	O da kaldırır
fykwn	olsun
fykydwA	sonra kurarlar
fymkv	kalır
fymsk	sonra yanında tutar
fymt	ve ölürse
fymwtwA	ölsünler
fymylwn	birden yapsalar
fynZr	böylece bakar
fynZrwA	görsünler
fynb}hm	O haber verecektir
fynb}km	size haber verir
fynqlbwA	dönüp gitsinler diye
fynsx	fakat siler
fyntqm	öc alır
fyqsmAn	yemin ederler
fyqtl	öldürülür
fyqtlwn	öldürürler
fyqwl	derler
fyqwlwA	derler
fyqwlwn	derler ki
fyrkmh	yığsın da
fyrsl	salarak
fysHtkm	sonra kökünüzü keser
fysbwA	onlar da sövmesinler
fysqY	yine sunacak
fystHY	fakat o utanıyordu
fysxrwn	alay edenler
fytElmwn	fakat öğreniyorlardı
fytbEwn	ve uyarlar
fywHY	vahyedecek
fywfyhm	eksiksiz ödeyecektir
fyxrj	çıkar
fzAdhm	artırmıştır
fzAdthm	artırır
fzAdwhm	ve onların artırırlardı
fzE	korku giderildi
fzEwA	telaşa düştükleri
fzdh	onun artır
fzylnA	böylece ayırırız
fzyn	süsledi
fzynwA	süslü gösterdiler
f{$hdwA	o halde tanık olun
f{*hb	gidin
f{*hbA	ikiniz de gidin
f{*krwA	anın
f{*krwnY	Öyle ise beni anın
f{Drb	ve vur
f{DrbwA	vurun
f{Ebd	kulluk et
f{Ebdh	O'na kulluk et
f{EbdnY	bana kulluk et
f{EbdwA	siz de kulluk edin
f{Ebdwh	O'na tapın
f{EdlwA	adalet yapın
f{Ef	öyleyse affet
f{EfwA	affedin
f{Elm	bil ki
f{ElmwA	bilin ki
f{Eml	sen (istediğini) yap
f{EtbrwA	ibret alın
f{EtdwA	siz de saldırın
f{Etlwh	sürükleyin
f{EtrfnA	itiraf ettik
f{EtrfwA	itiraf ettiler
f{EtzlwA	çekilin
f{H*rhm	onlardan sakın
f{H*rwA	sakının
f{H*rwh	O'ndan sakının
f{H*rwhm	onlardan sakının
f{Hkm	hüküm ver
f{Html	ve taşıdı
f{Htrqt	yakıp kül etsin
f{STAdwA	avlanabilirsiniz
f{Sbr	sabret
f{SbrwA	sabredin
f{SdE	açıkça söyle
f{SfH	şimdi sen geç
f{ThrwA	tam temizlenin
f{TlE	baktı
f{bEvwA	gönderin
f{btgwA	siz arayın
f{dE	du'a et
f{dEwA	o halde çağırın
f{dEwh	O'na yalvarın
f{dEwhm	çağırın onları da
f{dfEwA	hemen verin
f{dr'wA	haydi savın
f{drtm	birbirinizle atışmıştınız
f{dxlY	ve gir
f{dxlwA	girin
f{dxlwhA	buraya girin
f{fElwA	haydi yapın
f{frq	ayır
f{fsHwA	yer açın ki
f{ftH	o halde aç
f{gfr	bağışla
f{gslwA	yıkayın
f{hbT	öyle ise in
f{hdwhm	onları götürün
f{jEl	ve yap
f{jldwA	vurun
f{jldwhm	vurun onlara
f{jnH	sen de yanaş
f{jtbh	onun du'asını kabul etti
f{jtnbwA	artık kaçının
f{jtnbwh	bunlardan kaçının
f{ktbnA	bizi yaz
f{ktbwh	onu yazın
f{lESft	esip
f{lHkm	artık hüküm
f{lHmlt	yüklü (bulut)lara andolsun
f{lHq	gerçektir
f{lSlHt	iyi kadınlar
f{lfrqt	ve ayıranlara
f{ljryt	akıp gidenlere andolsun
f{llh	Allah'tır
f{lmdbrt	derken düzenleyenlere
f{lmgyrt	akın edenlere
f{lmlqyt	ve bırakanlara
f{lmqsmt	taksim edenlere andolsun
f{lmwryt	(tırnaklarıyla) ateş çıkaranlara
f{lnAr	ateştir
f{lsbqt	yarışıp geçenlere
f{ltlyt	ve okuyanlara
f{ltmswA	ve arayın
f{ltqTh	nihayet onu aldı
f{ltqY	sonra birleşti
f{ltqmh	sonra onu yuttu
f{lywm	bugün
f{lzjrt	ve sürenlere
f{m$wA	haydi yürüyün
f{mnn	artık dilediğine ver
f{msHwA	sürün
f{mtHnwhn	onları imtihan edin
f{n$zwA	kalkın ki
f{nSrnA	bize yardım eyle
f{nTlqA	yine yürüdüler
f{nTlqwA	derken yürüdüler
f{nZr	bak
f{nZrY	o halde bak
f{nZrwA	ve görün
f{nb*	sen de davran
f{nbjst	ve fışkırdı
f{nf*wA	geçin gidin
f{nfjrt	fışkırmıştı
f{nflq	sonra yarıldı
f{nfrwA	savaşa gidin
f{nhAr	ve yuvarlanan
f{nkHwA	alın
f{nkHwhn	öyle ise onlarla evlenin
f{nqlbwA	geri döndüler
f{nslx	sıyrıldı, çıktı
f{nt$rwA	dağılın
f{ntZrwA	bekleyin
f{ntb*t	ve çekildi
f{nthY	(ribadan) vazgeçerse
f{nthwA	sakının
f{ntqmnA	öcümüzü aldık
f{q*fyh	ve at
f{qD	o halde yap
f{qEdwA	öyle ise oturun
f{qSS	anlat
f{qTEwA	kesin
f{qr'wA	artık okuyun
f{qtlwA	öldürün
f{qtlwhm	hemen onları öldürün
f{rjE	döndür de (bak)
f{rjEnA	bizi geri döndür
f{rjEwA	dönün
f{rtd	derhal
f{rtdA	geriye döndüler
f{rtqb	biraz bekle
f{rtqbhm	sen onları gözetle
f{rzqwhm	onları rızıklandırın
f{sEwA	hemen koşun
f{sjd	secde et
f{sjdwA	haydi secde edin
f{slk	sok (bindir)
f{slkY	ve yürü
f{st$hdwA	şahid getirin
f{stE*	sığın
f{stESm	o reddetti
f{stHbwA	fakat onlar yeğlediler
f{st_*nwk	senden izin isterlerse
f{stb$rwA	o halde sevinin
f{stbqwA	O halde koşun
f{stfthm	şimdi onlara sor
f{stgfr	mağfiret dile
f{stgfrwA	bağışlanma dileseler
f{stgfrwh	O'ndan bağışlanma dileyin
f{stglZ	sonra kalınlaşan
f{stgvh	(Musa'dan) yardım istedi
f{stjAb	ve karşılık verdi
f{stjbnA	kabul buyurduk
f{stjbtm	siz de da'vetime koştunuz
f{stkbrtm	fakat siz büyüklük tasladınız
f{stkbrwA	büyüklük tasladılar
f{stmE	şimdi dinle
f{stmEwA	dinleyin
f{stmsk	sen sımsıkı sarıl
f{stmtEtm	zevkinize baktınız
f{stmtEwA	onlar zevklerine baktılar
f{stqm	dosdoğru olun
f{stqymA	doğru yolda devam edin
f{stqymwA	artık doğrulun
f{stwY	derken dikilen
f{stxf	küçümsedi
f{tbAE	artık uymalıdır
f{tbE	izle
f{tbEhA	sen ona uy
f{tbEnY	bana uy
f{tbEwA	öyle ise uyun
f{tbEwh	ona uyun
f{tbEwnY	bana uyun ki
f{tlwhA	ve okuyun
f{tqwA	korkun
f{tx*	(balık) tuttu
f{tx*h	yalnız O'nu edin
f{tx*t	çekmişti
f{tx*tmwhm	siz onları aldınız
f{tx*wh	siz de onu edinin
f{vbtwA	sebat edin
f{x$whm	onlardan korkun
f{xlE	çıkar
f{xrj	çık
f{xtlT	karıştı
f{xtlf	ayrılığa düşüldü
f{xtlfwA	sonradan ayrılığa düştüler
f}p	topluluk
f}tkm	topluluğunuz
f}tyn	şu iki toplulukta
g$wp	perde
g$yhm	onları sardığı
g$yp	sargın bir belanın
gAfr	bağışlayandır
gAlb	yenecek
gAsq	gecenin
gA}bp	gizli
gDb	gazaba
gDbY	gazabım
gDbn	kızgın
gDbwA	kızdıkları
gSp	boğazı tırmalayan
gTA'	perde
gTA'k	perdeni
gdA	yarın
gdA'nA	kahvaltımızı
gdwA	sabah
gdwhA	sabah gidişi
gdwt	sen erkenden
gflA	gafil
gflp	gaflet
gfr	bağışladığını
gfrAnk	bağışlamanı dileriz
gfwr	Gafurdur
gfwrA	bağışlayıcı
gl	kin-
glA	bir kin
glAZ	gayet katı
glZp	bir katılık
glbhm	yenilgilerinden
glbt	yendi
glbwA	gâlip gelenler
glbwn	galib gelirsiniz
glf	perdelidir
glm	oğlum
glmA	bir çocuğa
glmAn	civanlar
glt	bağlandı
glyZ	katı
gm	(o) gamdan
gmA	gam
gmp	bir dert
gmrp	gaflet
gmrt	dalgaları
gmrthm	gafletleri
gnY	zengindir
gnm	davarının
gnmY	davarım
gnmtm	aldığınız ganimetten
gnyA	zengin
gr	aldatmış
grAbA	bir karga
grbt	battığı
grbyp	batıdan
grf	odalar
grfA	yüksek odalara
grfp	bir avuç
grk	seni aldatan
grwbhA	batmasından
grwrA	aldatmak için
gsq	kararmasına
gvA'	bir çöpe
gwA$	(ateşten) örtüler
gwl	sersemletme
gwrA	dibe
gwynA	kendimiz azdığımız
gyZ	öfkesini
gyb	gaybı
gybh	gizli bilgisini
gybt	dibine
gyr	-sız
gyrY	benden başka
gyrh	başka
gyrhA	başkasıyla
gyrkm	sizden başka
gyv	bir yağmura
gzY	savaşa çıktıkları
gzlhA	ipliğini
h$ymA	çöp kırıntıları
hAdY	yol gösteren
hAdwA	Yahudi
hAdyA	yol gösterici olarak
hAjr	hicret eden(leri)
hAjrn	hicret eden
hAjrwA	göç edenleri
hAlk	helak olacaktır
hAmdp	kurumuş ölmüş
hAr	çökecek
hAtwA	getirin
hb	ver
hbA'	toz duman
hdAY	benim hidayetime
hdY	bir yol
hdYhA	hidayetini
hdYhm	onları hidayet etmek
hdYkm	sizi hidayet ettiği
hdYn	beni doğru yola iletmiş iken
hdYnA	bizi getirmeseydi
hdYnY	beni iletti
hdnA	yöneldik
hdyA	bir kurban
hdynA	yol göstermiştik
hdynh	ona gösterdik
hdytnA	bizi doğru yola ilettikten
hjrA	bir ayrılışla
hlk	ölen
hlm	gelin
hm	yeltenmişti
hmAz	kötüleyip duran
hmt	yüz tutmuştu
hmzp	diliyle çekiştiren
hmzt	kışkırtmaları-
hny_A	afiyetle
hrwn	Harun
hrwt	Harut
hwYh	keyfine
hwd	Hud
hwdA	Hud'u
hwn	hakaretle
hwnA	mütevazi olarak
hyn	kolaydır
hynA	önemsiz bir iş
hyt	haydi gelsene
hzwA	alay
j**A	parça parça
j*E	dalı(nın altı)na
j*wE	dallarına
j*wp	bir kor (getiririm)
jA'	geldi
jA'h	gelir de
jA'hA	geldiği
jA'hm	gelince
jA'k	sana gelen
jA'km	gelmesine
jA'nA	bize gelen
jA'nY	bana geldi
jA't	geldi
jA'th	geldikten
jA'thA	birden çıkıp
jA'thm	gelse
jA'tk	sana geldi
jA'tkm	size geldi
jA'tnA	bize geldiği
jA'w	getiren
jA'whA	geldikleri
jA'wk	sana gelirler
jA'wkm	size gelenler
jAEl	yapan
jAElk	seni yapacağım
jAbwA	oyan
jAlwt	Calut'u
jAmE	bütün
jAmdp	cansız
jAn	bir yılan
jAnb	yanında
jAr	yanınızdayım
jAvyp	toplanmış
jAwzA	orayı geçip gittiklerinde
jAwzh	(ırmağı) geçince
jAz	ödeyecek
jA}r	eğrisi de
jEl	kıldı
jElA	başladılar
jElh	onu etti
jElhA	onu yaptı
jElkm	sizi yapan
jElnA	kıldık
jElnh	yaptığımız
jElnhA	yaptık
jElnhm	biz onları yapmadık
jElnk	seni yaptık
jElnkm	sizi kıldık
jElth	onu ediyordu
jEltm	yaptınız
jElwA	ettiler
jHdwA	inkar etti
jbAhhm	onların alınları
jbAl	dağlar-
jbAr	zorba
jbArA	bir zorba
jbAryn	zorba
jbl	dağın
jblA	kuşağı
jd	şanı
jdAl	kavga etmek
jdArA	bir duvar
jdd	yollar
jdlA	tartışmak
jdlnA	bizimle tartışmanda
jdltm	savundunuz
jdltnA	bizimle tartıştın
jdlwk	seninle mücadele ederlerse
jdr	duvarların
jdyd	yeni
jfA'	yok olup
jhAdA	bir cihadla
jhAdh	cihadın
jhd	güçlü
jhdA	cihadetmek için
jhdAk	seni  zorlarlarsa
jhdhm	güçlerinin
jhdwA	cihadettiler
jhnm	cehennem
jhr	açık (söyleyen)
jhrp	açıkça
jhzhm	yükletti
jlbybhn	örtülerini
jldp	değnek
jlwd	derileri
jlwdA	derileri
jlwdhm	derileri
jlwdkm	derilerinizin
jmAl	bir güzellik
jmE	yığdı
jmEA	cemaati bulunan
jmEh	onu toplamak
jmEhm	onları toplamağa
jmEkm	topluluğunuzun
jmEnhm	topladığımız
jmEnkm	sizi bir araya topladık
jmEwA	(ordu) toplamışlar
jmlp	toptan
jmlt	bir halattır
jmyE	hepsi
jmyEA	tümü
jmyl	güzelce
jn	basınca
jnAH	günah
jnAHk	böğrüne
jnHwA	onlar yanaşırlarsa
jnb	uzaktan
jnbA	cünüp
jnd	ordu
jndnA	bizim ordumuz
jnfA	hata(sından)
jnp	kalkan
jnt	bahçeler
jntAn	iki bahçe
jnth	bağına
jntk	bağına
jntyn	iki bağ
jnwbhA	yanları üzerine (canları çıkınca)
jnwbhm	yanları
jnwbkm	yanlarınız
jnwd	ordular
jnwdA	askerler
jnwdh	orduları
jrAd	çekirgeler
jrHtm	işlediğiniz
jrf	bir uçurum
jrm	şüphe
jsdA	heykeli
jw	boşluğunda
jwAb	cevabı
jwE	açlık-
jwfh	(göğüs) boşluğunda
jybk	koynuna
jydhA	boynunda
jywbhn	(göğüs) yırtmaçlarının
jz&A	cezası
jz&h	cezası
jz'	bir bölüm
jz'A	bir parça
jzA&hm	cezaları
jzA&km	cezanız
jzA'	cezası
jzynhm	onları cezalandırdık
jzythm	onlara verdim
j}nA	getireceğiz
j}nhm	onlara getirdik
j}nk	biz sana getirdik
j}nkm	biz size getirdik
j}t	getirdin
j}thm	onlara getirsen
j}tk	sana getirsem de mi?
j}tkm	size getirdim
j}tm	siz bulundunuz
j}tmwnA	bize geldiniz
j}tnA	sen bize geldikten
k$f	gidermeye
k$fnA	kaldırdık
k$ft	kaldırırsan
k$jrp	bir ağaç gibidir
k*Ab	yalancıdır
k*b	yalancı
k*bA	yalan
k*bh	yalanı
k*bp	yalancı
k*bt	yalandı
k*btm	yalanlayacak
k*bwA	yalanlayan
k*bwh	onlar onu yalanladılar
k*bwk	seni yalanlarlarsa
k*bwkm	sizi yalanladılar
k*krkm	andığınız gibi
k>Hd	herhangi biri gibi
k>lf	bin (yıl) gibidir
k>mvl	gibi
k>s	bir kadeh-
k>sA	kadehten
kA$f	açacak
kA$fwA	kaldırırız
kAd	nerdeyse
kAdH	çabalamaktasın
kAdt	neredeyse
kAdwA	az daha
kAfp	bütün
kAfr	kafirdir
kAfrp	nankördü
kAhn	bir kahinin
kAlwhm	kendileri onlara bir şey ölçtükleri
kAmlp	tamamı
kAmlyn	tam
kAn	bu
kAnA	ikisi de
kAnt	ise
kAntA	idi
kAnwA	idi
kAtb	yazıcı
kAtbA	yazacak birini
kE*Ab	azabı gibi
kESf	ekin yaprağı gibi
kErD	genişliği gibi (olan)
kHb	sever gibi
kSAHb	sahibi gibi (Yunus)
kSyb	boşanan yağmur gibi
kTY	dürer gibi
kZlmt	karanlıklar gibidir
kZmyn	yutkunur dururlar
kbA}r	büyük günahlardan
kbr	ağır
kbrh	en büyüğünü
kbrt	ne büyük (küstahça)
kbsT	uzatan kimse gibidir
kbt	tepelendikleri
kbtwA	tepeleneceklerdir
kbyr	büyük
kbyrA	büyük
kbyrhm	büyükleri
kbyrp	büyük
kb}r	büyük
kd>b	durumu gibi
kdEA'	daveti gibi
kdHA	gayretle
kdnA	bir çare öğrettik
kdt	neredeyse
kf	çeken
kfAr	kafir
kfArA	kafirler olarak
kfArp	keffaret olur
kfY	yeter
kfft	savmıştım
kfl	bir payı
kflyn	iki pay
kfr	örtmüştür
kfrA	küfürde
kfrAn	nankörlük edilmez
kfrh	inkarı
kfrhm	küfrü
kfrnA	tanımayız
kfrp	keffareti
kfrt	reddetmiştim
kfrtm	inkar etmeniz
kfrwA	inkar
kfwA	dengi
kfyh	ellerini
kfylA	kefil (şahid)
kfynk	sana yeteriz
kglY	kaynaması gibi
kh$ym	kuru ot gibi
khfhm	mağaralarında
khy_p	şeklinde bir şey
kjhr	yüksek sesle konuştuğunuz gibi
kl	he
klA	hepsini
klAhmA	her ikisi
klY	ye
klbhm	köpekleridir
klh	bütün
klhA	bütün
klhm	hepsi
klhn	hepsinin
kllp	evladı ve ana babası olmayıp
klm	sözünü
klmA	her
klmH	açıp yumma gibidir
klmh	onunla konuşunca
klmp	söz
klmt	sözü
klmtnA	şu sözümüz
kltA	her iki
kltm	ölçtüğünüz
klwA	yeyin
km$kwp	bir kandile
kmA'	bir su
kmvl	benzer
kmvlh	O'na benzer
kn	ol
knA	biz
knfs	kişi(nin yaratılmasından)
knt	sen
kntm	siz
kntn	siz
knz	bir hazine
knzhmA	hazinelerini
knztm	yığdıklarınız
krAm	değerli
krAmA	değerli
krb	sıkıntılardan
krh	hoşlanmadı
krhA	zorla
krhtmwhn	onlardan hoşlanmazsanız
krhwA	hoşlanmamışlardır
krmAd	küle benzer
krmnA	biz çok ikram ettik
krmt	üstün yaptığını
krp	bir dönüştür
krsyh	tahtının
krtyn	iki kez daha
ksAdhA	düşmesinden
ksAlY	üşene üşene
ksb	kazanır
ksbA	yaptıklarına
ksbt	kazandı
ksbtm	kazandıklarınız
ksbwA	yaptıkları
ksfA	parçalar
ksrAb	serap gibidir
kswthm	onları giydirmektir
ktAb	bir yazısı
ktb	Kitap
ktbA	bir Kitap
ktbh	Kitabı
ktbhA	kendi Kitabına
ktbhm	Kitaplarını
ktbk	Kitabını
ktbnA	yazdık
ktbnhA	biz yazmamıştık
ktbt	yazdın
ktm	gizleyen
kvr	çoğundan
kvrp	çokluğu
kvrt	çok da olsa
kvrtkm	çokluğunuz
kvybA	kum yığınları
kvyr	çoğu-
kvyrA	çok
kvyrp	çok
kwkb	bir yıldız
kwkbA	yıldız
kwnY	ol
kwnwA	olun
kx$yp	korkar gibi
kxlqh	O'nun yarattığı gibi
kxyftkm	çekindiğiniz gibi
kyd	hilesi
kydA	bir tuzak
kydY	benim tuzağım
kydh	hilesini
kydhm	tuzakları
kydhn	onların hilelerini
kydkm	hilenizi
kydkn	sizin hileniz
kydwn	bana tuzak kurun
kyf	ne
kyl	yükü
kzrE	bir ekin gibidir
k{l>EmY	körün durumu gibidir
k{l>nEm	hayvanlar gibidir
k{l>nvY	kız gibi
k{lEhn	renkli yün gibi
k{lErjwn	hurma sapına benzer
k{lHjArp	taş gibi
k{lTwd	bir dağ gibi
k{lZll	gölgeler gibi
k{lfrA$	pervaneler gibi
k{ljbAl	dağlar gibi
k{ljwAb	havuzlar kadar (geniş)
k{lmElqp	askıda (kocasızmış) gibi
k{lmfsdyn	bozgunculuk yapanlar gibi (mi?)
k{lmhl	erimiş maden gibi
l$AEr	bir şair için
l$AY'	hiçbir şey için
l$Y'	bir şeyi
l$dyd	pek çetindir
l$hdtnA	mutlaka bizim şahidliğimiz
l$r	en kötü
l$r*mp	topluluktur
l$rkA}hm	ortaklarına ait
l$rkA}nA	ortaklarımızındır
l$wbA	bir içkileri
l&l&	inci
l&l&A	inci
l'AbA}hm	atalarının
l'Adm	Adem'e
l'Aklwn	yiyeceklerdir
l'Amn	iman ederdi
l'At	gelecektir
l'AtwhA	elbette yaparlardı
l'AtynA	verirdik
l'Atynhm	onlara sokulacağım
l'Atyp	gelecektir
l'Ayp	ibret
l'Ayt	ayetler
l'AytnA	bizim ayetlerimize karşı
l*A}qwA	tadacaksınız
l*hb	götürürdü
l*kr	zikrine
l*krY	bir öğüt
l*kwrnA	erkeklerimize aittir
l*nbk	günahına
l*nwbhm	günahlarının
l*p	lezzetli
l<HdY	biridir
l<brhym	İbrahim'i
l<vm	günaha
l<xwnhm	kardeşlerine
l<ylf	alıştırdığı için
l>*qnk	sana taddırırdık
l>A*bHnh	onu keseceğim
l>E*bnh	ona azabedeceğim
l>Edl	adalet yapmakla
l>EdwA	yaparladı
l>Entkm	sizi zora sokardı
l>Hd	hiç kimseye
l>HdhmA	ikisinden birine
l>Htnkn	hakimiyetime alacağım
l>SHb	halkı
l>Slbnkm	asacağım
l>Znh	onu sanıyorum
l>Znk	seni görüyorum
l>bY	babamı
l>byh	babası
l>glbn	elbette galib geleceğiz
l>gwynhm	onları azdıracağım
l>hb	hediye edeyim diye
l>hl	halkının
l>hlh	ailesine
l>jElnk	seni mutlaka yapacağım
l>jd	alıyorum
l>jdn	bulurum
l>jl	süreye kadar
l>jrA	bir ücret
l>kfr	nankörlük etmeğe
l>kfrn	elbette örterim
l>klwA	muhakkak ki yerlerdi
l>kvrhm	onların çoklarında
l>kwnn	elbette olurdum
l>kydn	bir tuzak kuracağım
l>mArp	daima emredicidir
l>ml>n	dolduracağım
l>mnthm	emanetlerine
l>mr	emrine
l>msktm	tutardınız
l>n*rkm	sizi uyarayım
l>nEmh	O'nun ni'metlerine
l>nfshm	kendilerine
l>nfskm	kendinize
l>nzl	elbette indirirdi
l>qEdn	ben de oturacağım
l>qTEn	elbette keseceğim
l>qrb	daha yakın
l>qtlk	seni öldürmek için
l>qtlnk	seni öldüreceğim
l>rjmnk	andolsun seni taşlarım
l>rynkhm	onları sana gösterirdik
l>sjd	secde
l>smEhm	elbette onlara işittirirdi
l>sqynhm	onları sulardık
l>stgfrn	mağfiret dileyeceğim
l>tx*n	elbette alacağım
l>wh	çok içli idi
l>wl	ilk
l>wlY	sahiplerine
l>wlYhm	öncekiler için
l>wlnA	öncemiz için
l>wtyn	bana verilecek
l>x*nA	elbette alırdık
l>xrYhm	sonrakilere
l>xth	kızkardeşine
l>xyh	kardeşi
l>ymnkm	yeminlerinize
l>zwjhm	eşlerinin
l>zwjk	eşlerine
l>zydnkm	elbette size daha fazla veririm
l>zynn	andolsun (günahları) süsleyeceğim
lAhyp	eğlencededir
lA}m	hiçbir kınayıcının
lE*bhm	mutlaka onlara azabederdi
lE*bnA	elbette azab ederdik
lEAd	Ad
lEAdwA	yine dönerlerdi
lEAl	iyice büyüklenmişti
lEb	bir oyundan
lEbA	oyun
lEbAdY	kullarıma
lEbAdh	kullarına
lEbAdnA	kullarımıza
lEbdth	O'na kullukta
lEbrp	ibret
lEdthn	iddetleri içinde
lEfw	affedendir
lEjl	çabuklaştırırdı
lElY	elbette yücedir
lElm	ilmidir
lElmh	bilirlerdi
lElym	bilendir
lEmlkm	sizin bu işinize
lEmrk	ömrüne andolsun ki
lEn	la'net etmiştir
lEnA	bir la'netle
lEnh	ona la'net etti
lEnhm	la'netlediği
lEnp	laneti
lEnt	la'netini
lEntY	lanetim
lEntm	sıkıntıya düşerdiniz
lEnwA	la'netlenmişlerdir
lHb	sevgisine
lHbT	boşa giderdi
lHdwd	sınırlarını
lHdyv	söze
lHkm	hükmüne
lHkmh	O'nun hükmünü
lHkmhm	onların hükümlerine
lHlym	çok yumuşak huylu idi
lHm	eti
lHmA	et
lHn	üslubundan
lHq	gerçektir
lHsn	güzel
lHsrp	elbette hasrettir
lHwmhA	onların etleri
lSAlwA	elbette gireceklerdir
lSHbh	arkadaşı
lSwt	sesidir
lTmsnA	silerdik
lTyf	latiftir
lTyfA	latiftir
lZlm	bir zulümdür
lZlwA	başlarlar
lZlwm	çok haksızlık edendir
lb$r	insana
lb$ryn	şu iki insana
lb<mAm	(gözler) ön(ün)dedir
lbAs	elbisesi
lbAsA	giysi
